City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
瓦房店,30,21,24,0.45,14,48,50,4
潍坊,30,8,15,0.28,21,53,59,6
威海,35,6,10,0.4,17,52,69,5
渭南,58,20,27,0.8,10,106,108,2
文登,31,4,10,0.55,10,47,60,4
文山州,35,11,19,0.4,10,79,69,1
温州,28,14,27,0.45,18,41,37,6
乌海,101,30,122,0.53,12,155,160,12
武汉,38,19,29,0.76,32,72,75,4
芜湖,56,10,36,0.7,17,80,106,6
吴江,91,21,50,0.77,30,132,148,8
五家渠,74,9,31,0.2,6,132,127,9
乌兰察布,97,30,39,0.6,16,180,155,25
乌鲁木齐,60,12,38,0.54,11,117,110,6
武威,84,9,21,0.3,7,158,139,3
无锡,96,35,60,0.74,33,116,154,8
吴忠,108,9,31,0.2,10,164,167,6
梧州,39,17,34,0.83,12,75,76,7
厦门,47,19,42,0.38,22,104,92,9
西安,38,17,24,1.09,25,88,75,5
湘潭,50,20,31,0.57,15,111,98,8
湘西州,22,9,21,0.63,7,52,43,1
襄阳,29,16,28,0.88,19,43,38,6
咸宁,43,13,36,1.1,8,111,84,4
咸阳,54,13,31,1.1,15,117,103,7
孝感,38,7,15,0.9,2,78,74,7
锡林郭勒盟,72,5,15,0.65,2,129,125,4
兴安盟,56,39,52,0.63,7,97,102,3
邢台,48,27,46,1.15,25,92,94,6
西宁,75,20,38,0.93,17,143,128,10
新乡,60,42,58,0.8,29,65,86,9
信阳,17,7,16,0.5,18,33,28,4
新余,39,12,29,0.4,11,83,76,7
忻州,37,14,32,0.65,32,77,72,6
西双版纳州,19,8,16,0.65,15,43,36,7
宣城,34,8,20,0.43,16,52,67,7
许昌,38,24,37,0.77,18,53,56,4
徐州,21,8,12,0.74,23,41,40,7
雅安,41,7,13,0.53,15,79,81,11
延安,55,7,23,1.23,24,91,104,9
延边州,23,10,19,0.47,11,37,45,3
盐城,72,52,91,0.98,14,139,121,8
阳江,38,16,33,0.87,20,61,74,10
阳泉,42,27,39,0.86,31,81,83,20
扬州,72,21,56,0.52,31,94,125,12
烟台,34,6,11,0.32,14,49,67,4
宜宾,39,16,26,0.7,17,80,77,5
宜昌,43,28,42,0.92,30,44,46,7
宜春,39,11,28,0.62,7,61,77,8
伊春,24,9,15,0.4,8,59,47,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,81,6,21,0.33,8,137,135,8
银川,88,19,46,0.47,18,146,144,23
营口,45,19,30,0.43,19,79,88,3
鹰潭,48,11,47,0.46,6,64,71,7
义乌,38,15,32,0.35,18,53,74,3
宜兴,43,14,30,0.95,38,48,85,3
益阳,40,15,23,0.92,9,96,78,8
永州,37,16,23,0.42,9,73,73,5
岳阳,44,10,19,0.77,4,94,87,5
玉林,49,21,48,0.7,6,74,72,7
榆林,94,6,14,0.65,9,165,151,5
运城,45,13,22,1.8,23,84,89,3
云浮,55,17,37,0.6,9,61,104,5
玉树州,33,8,25,0.4,3,66,65,7
玉溪,31,10,16,0.57,14,60,61,6
枣庄,26,6,16,0.5,16,55,51,7
张家港,60,28,58,0.6,52,86,110,7
张家界,33,6,27,1.15,23,65,64,28
张家口,86,35,52,0.54,25,128,142,9
章丘,47,16,46,0.55,26,36,48,8
张掖,97,5,6,0.4,4,173,155,9
漳州,47,16,36,0.57,11,80,93,4
湛江,29,8,26,0.43,6,58,56,5
肇庆,59,25,53,0.8,29,86,109,5
昭通,40,7,39,0.45,7,78,77,7
招远,29,5,23,0.4,18,51,57,6
郑州,46,15,38,0.72,21,100,91,4
镇江,61,24,53,0.78,36,53,112,3
中山,28,12,20,0.33,14,45,54,8
中卫,97,3,21,0.6,9,155,155,9
周口,18,3,9,0.7,16,48,35,6
舟山,21,9,20,0.5,9,38,37,8
珠海,24,8,23,0.38,10,40,46,3
诸暨,0,0,0,0.0,0,0,0,0
驻马店,45,17,44,0.5,18,29,27,8
株洲,49,24,29,0.41,9,103,96,10
淄博,27,15,26,0.78,19,45,52,3
自贡,41,19,40,0.8,16,62,50,16
资阳,20,11,19,0.6,16,37,33,6
遵义,29,10,28,0.68,33,27,41,6
